seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
160204105438	X000YE5K03	B007OJKI2U	CollectibleAcceptable	SELLABLE	0
160204140646	X000YEF7ZB	0134340388	CollectibleAcceptable	SELLABLE	0
160204135433	X000YEEQ7B	0005068460	CollectibleAcceptable	SELLABLE	0
160204110011	X000YE5TZJ	B001QFZM8I	UsedVeryGood	SELLABLE	0
160204140031	X000YEEZAJ	0005170699	CollectibleAcceptable	SELLABLE	0
160203125722	X000YD833Z	B0046S8MRA	NewItem	SELLABLE	0
160203134325	X000YDA031	0195012828	UsedAcceptable	SELLABLE	0
160204110304	X000YE5ZN5	B008NC6SNU	UsedLikeNew	SELLABLE	0
160204135645	X000YEETJB	0028331362	CollectibleAcceptable	SELLABLE	0
160204110023	X000YE5UGH	B001ACF2C8	NewItem	SELLABLE	0
160204140308	X000YEF2DD	0030425492	CollectibleAcceptable	SELLABLE	0
160204140614	X000YEF75V	0131162543	CollectibleAcceptable	SELLABLE	0
160204103644	X000YE4LHL	B0049C0MXK	NewItem	SELLABLE	0
160204113136	X000YE7JST	0005137438	UsedAcceptable	SELLABLE	0
160203104015	X000YD0XPL	0582419743	UsedVeryGood	SELLABLE	0
160203142217	X000YDBK03	B006OBSDIK	UsedGood	SELLABLE	0
160204110220	X000YE5Y6D	B005Y29DSO	NewItem	SELLABLE	0
160203135757	X000YDALUD	0582419743	UsedLikeNew	SELLABLE	0
160204104603	X000YE53KP	B00000DOZ4	UsedGood	SELLABLE	0
160204105311	X000YE5H3X	B003XNYMB4	CollectibleLikeNew	SELLABLE	0
160204141203	X000YEFFE9	0134340477	CollectibleAcceptable	SELLABLE	0
160203130536	X000YD8EQL	B004DCWWP2	NewItem	SELLABLE	0
160203135255	X000YDAENR	0195012828	CollectibleAcceptable	SELLABLE	0
160204105211	X000YE5EW7	B00005LIRF	UsedLikeNew	SELLABLE	0
160204120835	X000YE9I1P	0195012828	NewItem	SELLABLE	0
160204104520	X000YE52HT	B000056Q86	UsedLikeNew	SELLABLE	0
160204150153	X000YEHPOR	0781777984	NewItem	SELLABLE	0
160205070012	X000YEXM21	0060873175	NewItem	SELLABLE	0
160204150134	X000YEHPGF	B007C1I1ZG	NewItem	SELLABLE	0
160205065643	X000YEXI1V	0005257913	NewItem	SELLABLE	0
160204150034	X000YEHO57	0781445442	NewItem	SELLABLE	0
160205065820	X000YEXJLF	0061136913	NewItem	SELLABLE	0
160205065909	X000YEXKNH	0030390826	NewItem	SELLABLE	0
160205065538	X000YEXGNL	0071424121	NewItem	SELLABLE	0
160205065558	X000YEXH85	0021447896	NewItem	SELLABLE	0
160205070006	X000YEXLXL	0070026572	NewItem	SELLABLE	0
160205065434	X000YEXEJH	0060976497	NewItem	SELLABLE	0
160205065810	X000YEXJDX	0007121687	NewItem	SELLABLE	0
160205065927	X000YEXL09	0064471403	NewItem	SELLABLE	0
